# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:12:18
# Scanner Center Position (X, Y):	[µm]	49.66	48.17	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	50	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	72.109	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	7.8825644E-07	197.29599	0	71.96436	1.6835135	0.33021462	-0.906551	0.17132768	-2.9266858	0.002104591	2.798211	0.00038406643	2.4107604	95.85269	0	21.336046	2.8404882	4.30609	-0.59084857	0.87029904	2.324926	0.22511603	-1.1242669	0.0005245049	2.450381	
0	0	0	1	7.892533E-07	197.26668	0	72.3823	1.6954088	0.3317934	-0.87273246	0.17531249	-2.8780477	0.0016316083	-3.1007314	0.0002734843	1.7746192	94.30857	0	21.144188	2.8379416	4.2969594	-0.583297	0.858835	2.3125646	0.19342609	-1.1990532	0.00047261314	1.7466735	
0	0	0	2	7.902583E-07	197.21109	0	73.07916	1.7066453	0.34117204	-0.8583373	0.18029127	-2.845813	0.0008082171	-2.693941	0.00015356427	-2.5247366	92.890755	0	20.965828	2.8371835	4.2644906	-0.56719893	0.836129	2.3261065	0.22139946	-0.94866014	0.00046996755	2.383852	
0	0	0	3	7.9126335E-07	197.14038	0	74.00226	1.7082175	0.3493769	-0.84726346	0.18613903	-2.8546007	0.00091329066	-2.4675868	0.00010321957	2.4386883	91.82333	0	20.958097	2.835147	4.2518415	-0.5738404	0.8154929	2.3020473	0.22017802	-0.9231111	0.00022564351	1.1202501	
0	0	0	4	7.922601E-07	197.08759	0	74.66627	1.7126547	0.3527708	-0.83025223	0.19199242	-2.8454385	0.003283148	-1.8000814	0.00021680455	0.82244605	90.75758	0	20.779135	2.8391187	4.209481	-0.57815874	0.8532002	2.3302157	0.22653458	-0.9654117	0.00039984862	1.6288443	
0	0	0	5	7.932734E-07	197.01984	0	75.433105	1.7233043	0.3582376	-0.81590813	0.19732685	-2.8055294	0.0009561747	-0.5626168	6.3177235E-05	0.15858656	89.16159	0	20.634583	2.8375597	4.234657	-0.5843029	0.84398	2.3307269	0.20891322	-1.0623713	0.00021562532	1.3168702	
0	0	0	6	7.942784E-07	196.94579	0	76.21662	1.7270147	0.36352006	-0.806383	0.20441553	-2.7914302	0.0024703492	-1.7252879	0.00024689478	-0.03537681	89.29985	0	20.50455	2.8390443	4.1833396	-0.577608	0.8206289	2.3277087	0.19203913	-0.9581594	0.00047629082	1.7929665	
0	0	0	7	7.952834E-07	196.88805	0	76.862816	1.7305048	0.37075764	-0.7910883	0.21124858	-2.7801657	0.0016091595	-1.8652881	0.000114226714	2.1416368	88.50005	0	20.273676	2.8373415	4.112416	-0.5673794	0.7972199	2.29227	0.18262915	-1.2123207	0.0005371184	2.2130003	
0	0	0	8	7.962802E-07	196.88094	0	77.542	1.7410479	0.37663037	-0.77167857	0.21639095	-2.747906	0.0017282217	-0.73133767	5.054077E-05	-2.2649255	88.80391	0	20.167454	2.8389587	4.094884	-0.5783836	0.79239726	2.31355	0.18103865	-1.0382116	0.00036629956	-0.09565244	
0	0	0	9	7.9729347E-07	196.80553	0	78.2616	1.736966	0.3821871	-0.779872	0.22195956	-2.7650857	0.001930273	-0.56645036	9.967015E-05	1.9074057	88.5373	0	20.004766	2.8363605	4.053695	-0.587278	0.7643966	2.2378232	0.20426917	-0.9257832	0.00033556082	0.68711317	
